glac,month,prev_mean_elev_m,onset_mean_elev_m
16444,7,3042.2,3035.75
16457,7,3134.75,3164.4583333333335
16463,7,2764.75,2920.75
16485,7,3063.05,3214.75
16486,7,3234.2,3384.9166666666665
16515,7,915.0,1380.1666666666667
16532,7,2527.45,2471.875
16534,7,2242.25,2346.375
16535,7,2452.15,2448.75
16536,7,2419.7,2426.125
16537,7,2508.25,2503.5
16540,7,2502.85,2523.375
16545,7,2505.35,2508.625
16554,7,2500.7,2496.0416666666665
16556,7,2461.35,2497.75
16569,7,2321.8,2401.625
16618,7,1981.75,2015.375
16657,7,2059.7,2220.5
5500,8,2698.75,2786.0833333333335
5509,8,2168.65,2454.9583333333335
5514,8,2774.5,2796.25
5525,8,2801.25,2819.8333333333335
5529,8,2641.6,2720.5
5533,8,2693.1,2737.625
5535,8,2802.05,2801.6666666666665
5536,8,3021.55,2973.0416666666665
5550,8,3093.85,3185.4166666666665
5557,8,2781.3,2772.125
5558,8,3007.0,2966.0416666666665
5559,8,2862.1,2852.4583333333335
5565,8,2950.9,2975.4583333333335
5572,8,2743.05,2793.0416666666665
5573,8,2736.65,2776.0
5574,8,2753.1,2828.75
5581,8,2757.9,2803.7083333333335
5582,8,2968.85,3027.75
5583,8,2944.3,2963.0833333333335
5584,8,2985.35,3142.0833333333335
5589,8,3091.85,3127.5416666666665
5594,8,2529.35,2577.875
5632,8,2732.3,2799.0416666666665
5663,8,2514.0,2515.125
5675,8,1948.95,2030.75
5685,8,2178.2,2220.25
5696,8,2675.75,2958.125
5743,8,2319.8,2362.5416666666665
5763,8,2281.45,2402.5
5777,8,2534.55,2697.7083333333335
5780,8,3063.2,3128.75
5785,8,2739.6,2700.9166666666665
5793,8,2695.1,2772.9166666666665
5804,8,2640.9,2625.75
5807,8,2528.8,2607.125
5813,8,2703.4,2732.5416666666665
5823,8,2447.8,2488.625
5833,8,2572.85,2627.5833333333335
5836,8,2551.55,2671.25
5845,8,2351.75,2449.0
5847,8,2228.65,2317.5
5848,8,2262.3,2371.75
5849,8,2599.25,2760.25
5850,8,2361.9,2685.375
5851,8,2665.3,2761.375
5862,8,2840.65,2884.8333333333335
5874,8,2357.9,2465.375
5875,8,3498.4,3750.875
5878,8,3405.95,3722.125
5880,8,3142.4,3250.75
5904,8,3228.85,3310.75
5944,8,2552.65,2645.0416666666665
5950,8,2891.85,2950.0833333333335
5955,8,2768.2,3070.6666666666665
5962,8,2138.85,2360.0
5964,8,2293.5,2334.0
5965,8,2527.1,2551.1666666666665
5970,8,2362.15,2399.375
5972,8,3327.55,3443.2083333333335
5974,8,2956.1,2935.0416666666665
5979,8,2990.05,3022.5
5981,8,3273.6,3491.2083333333335
5986,8,3326.75,3493.2083333333335
5999,8,3588.3,3658.9583333333335
